contact_id,account_id,first_name,last_name,title,seniority,role_flag,email,email_domain,last_activity_at
CON-M95BMJKS,ACC-XZT3P887,Noah,Rodriguez,IT Manager,Manager,Decision_Influencer,noah.rodriguez@apple.com,apple.com,2023-02-16T21:11:35.131511
CON-5DJLVGUL,ACC-XZT3P887,Mateo,Martin,GRC Manager,Manager,Decision_Influencer,mateo.martin@apple.com,apple.com,2024-11-12T21:17:39.131511
CON-PES1VN5E,ACC-XZT3P887,Ethan,Davis,Systems Admin,IC,User,ethan.davis@apple.com,apple.com,2024-09-14T10:44:21.131511
CON-VIZCS4KN,ACC-XZT3P887,Liam,Martin,Sales Ops Manager,Manager,User,liam.martin@apple.com,apple.com,2024-08-13T20:29:12.131511
CON-9HUDU1CL,ACC-HJ7LL8BR,Sam,King,Sales Ops Manager,Manager,User,sam.king@microsoft.com,microsoft.com,2024-07-19T22:54:17.131511
CON-B3V7U7MY,ACC-HJ7LL8BR,Luca,Patel,Director of IT,Director,Decision_Maker,luca.patel@microsoft.com,microsoft.com,2024-04-08T02:17:18.131511
CON-YERTL0DZ,ACC-HJ7LL8BR,Luca,Rodriguez,IT Manager,Manager,Decision_Influencer,luca.rodriguez@microsoft.com,microsoft.com,2024-11-25T17:59:31.131511
CON-88KGEQ8S,ACC-HJ7LL8BR,Isla,Lopez,IT Manager,Manager,Decision_Influencer,isla.lopez@microsoft.com,microsoft.com,2025-07-18T19:15:53.131511
CON-2DV3L94H,ACC-MHE7BVFJ,Kai,Clark,Director of IT,Director,Decision_Maker,kai.clark@google.com,google.com,2022-12-11T09:14:00.131511
CON-MMO6REN6,ACC-MHE7BVFJ,Min,Jackson,Systems Admin,IC,User,min.jackson@google.com,google.com,2024-10-23T02:03:47.131511
CON-2OUUOBO8,ACC-MHE7BVFJ,Ethan,Moore,Head of Security,Director,Decision_Maker,ethan.moore@google.com,google.com,2024-02-22T03:27:00.131511
CON-XAJU8EJN,ACC-MHE7BVFJ,Kai,Rodriguez,Sales Ops Manager,Manager,User,kai.rodriguez@google.com,google.com,2025-02-19T02:47:45.131511
CON-FTMFCU9K,ACC-7JORZ952,Harper,Chen,IT Manager,Manager,Decision_Influencer,harper.chen@amazon.com,amazon.com,2023-04-04T16:53:22.131511
CON-NPUHBSZE,ACC-7JORZ952,Kai,Lee,CIO,C-Level,Decision_Maker,kai.lee@amazon.com,amazon.com,2024-01-10T20:30:49.131511
CON-IU5I0DI5,ACC-7JORZ952,Ava,Garcia,IT Manager,Manager,Decision_Influencer,ava.garcia@amazon.com,amazon.com,2025-05-24T06:37:42.131511
CON-WYAHYPOA,ACC-7JORZ952,Min,Davis,Director of IT,Director,Decision_Maker,min.davis@amazon.com,amazon.com,2023-03-13T10:23:14.131511
CON-BWS2QJK1,ACC-JVR09L5N,Anika,Taylor,Head of Security,Director,Decision_Maker,anika.taylor@meta.com,meta.com,2025-08-02T09:17:37.131511
CON-FRYW03JL,ACC-JVR09L5N,Emma,Wilson,Security Engineer,IC,Decision_Influencer,emma.wilson@meta.com,meta.com,2023-12-21T18:19:09.131511
